,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,9, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,9, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,17, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,9, , , 
11,"                                11
                            ",4,English - Maths-4,17, , , 
12,"                                12
                            ",5,English - EVS-5,13, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,17, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,13, , , 
15,"                                15
                            ",5,English - Maths-5,13, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,13, , , 
17,"                                17
                            ",6,English - Maths-6,11, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,8, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,11, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,11, , , 
21,"                                21
                            ",6,English - Soc. Science-6,11, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,8, , , 
23,"                                23
                            ",7,English - Maths-7, , , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,8, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,8, , , 
26,"                                26
                            ",7,English - Science-7, , , , 
27,"                                27
                            ",7,English - Social Science-7, , , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8, , , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8, , , , 
30,"                                30
                            ",8,English - Maths-8, , , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8, , , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8, , , , 
33,"                                33
                            ",8,English - Science-8, , , , 
34,"                                34
                            ",8,English - Social Science-8, , , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,29708,30640,103,-3
36,"                                36
                            ",1,Hindi - GANIT -1,29488,32160,109,-9
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,29488,27365,92,8
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,28116,13943,49,51
39,"                                39
                            ",2,Hindi - GANIT -2,31667,28181,88,12
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,31694,28987,91,9
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,37280,37483,100,0
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,37119,37332,100,0
43,"                                43
                            ",3,Hindi - GANIT -3,32662,13078,40,60
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,36951,37203,100,0
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,37462,42301,112,-12
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,37514,36705,97,3
47,"                                47
                            ",4,Hindi - GANIT -4,37341,33604,89,11
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,37625,41681,110,-10
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),36165,37040,102,-2
