S.No,Class,Subject,Total projected demands,Books actually recieved by blocks,% of received books,%Pendency
,,,,,,
"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
"                                2
                            ",1,English - Maths-1, , , , 
"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
"                                4
                            ",2,English - Maths-2, , , , 
"                                5
                            ",3,English - EVS-3, , , , 
"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3, , , , 
"                                8
                            ",3,English - Maths-3, , , , 
"                                9
                            ",4,English - EVS-4, , , , 
"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4, , , , 
"                                11
                            ",4,English - Maths-4, , , , 
"                                12
                            ",5,English - EVS-5, , , , 
"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5, , , , 
"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5, , , , 
"                                15
                            ",5,English - Maths-5, , , , 
"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6, , , , 
"                                17
                            ",6,English - Maths-6, , , , 
"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6, , , , 
"                                19
                            ",6,English - Sanskrit (Surabhi) -6, , , , 
"                                20
                            ",6,English - SCIENCE-6 , , , , 
"                                21
                            ",6,English - Soc. Science-6, , , , 
"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7, , , , 
"                                23
                            ",7,English - Maths-7, , , , 
"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7, , , , 
"                                25
                            ",7,English - Sanskrit (Surabhi)-7, , , , 
"                                26
                            ",7,English - Science-7, , , , 
"                                27
                            ",7,English - Social Science-7, , , , 
"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8, , , , 
"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8, , , , 
"                                30
                            ",8,English - Maths-8, , , , 
"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8, , , , 
